task, setting, vocab_alpha, lapt_alpha, vocab_size, lapt_steps, language, seed, accuracy
uas, full-train, 0.2, 0.4, 131074, 100000, et, 3, 84.7
uas, full-train, 0.2, 0.4, 131074, 100000, et, 4, 84.93
uas, full-train, 0.2, 0.4, 131074, 100000, fi, 1, 92.98
uas, full-train, 0.2, 0.4, 131074, 100000, fi, 2, 93.19
uas, full-train, 0.2, 0.4, 131074, 100000, fi, 3, 93.13
uas, full-train, 0.2, 0.4, 131074, 100000, fi, 4, 93.26
uas, full-train, 0.2, 0.4, 131074, 100000, hu, 1, 80.84
uas, full-train, 0.2, 0.4, 131074, 100000, hu, 2, 83.14
uas, full-train, 0.2, 0.4, 131074, 100000, hu, 3, 82.85
uas, full-train, 0.2, 0.4, 131074, 100000, hu, 4, 84.29
uas, full-train, 0.2, 0.4, 131074, 100000, ru, 1, 94.71
uas, full-train, 0.2, 0.4, 131074, 100000, ru, 2, 94.78
uas, full-train, 0.2, 0.4, 131074, 100000, ru, 3, 94.67
uas, full-train, 0.2, 0.4, 131074, 100000, ru, 4, 94.84
uas, few-shot, 0.2, 0.4, 65538, 100000, myv, 1, 41.96
uas, few-shot, 0.2, 0.4, 65538, 100000, myv, 2, 45.58
uas, few-shot, 0.2, 0.4, 65538, 100000, myv, 3, 43.44
uas, few-shot, 0.2, 0.4, 65538, 100000, myv, 4, 43.15
uas, few-shot, 0.2, 0.4, 65538, 100000, sme, 1, 32.27
uas, few-shot, 0.2, 0.4, 65538, 100000, sme, 2, 34.17
uas, few-shot, 0.2, 0.4, 65538, 100000, sme, 3, 34.77
uas, few-shot, 0.2, 0.4, 65538, 100000, sme, 4, 31.25
uas, few-shot, 0.2, 0.4, 65538, 100000, et, 1, 51.56
uas, few-shot, 0.2, 0.4, 65538, 100000, et, 2, 57.28
uas, few-shot, 0.2, 0.4, 65538, 100000, et, 3, 52.0
uas, few-shot, 0.2, 0.4, 65538, 100000, et, 4, 54.11
uas, few-shot, 0.2, 0.4, 65538, 100000, fi, 1, 70.83
uas, few-shot, 0.2, 0.4, 65538, 100000, fi, 2, 70.58
uas, few-shot, 0.2, 0.4, 65538, 100000, fi, 3, 70.3
uas, few-shot, 0.2, 0.4, 65538, 100000, fi, 4, 70.78
uas, few-shot, 0.2, 0.4, 65538, 100000, hu, 1, 66.85
uas, few-shot, 0.2, 0.4, 65538, 100000, hu, 2, 71.41
uas, few-shot, 0.2, 0.4, 65538, 100000, hu, 3, 69.61
uas, few-shot, 0.2, 0.4, 65538, 100000, hu, 4, 69.46
uas, few-shot, 0.2, 0.4, 65538, 100000, ru, 1, 75.62
uas, few-shot, 0.2, 0.4, 65538, 100000, ru, 2, 72.44
uas, few-shot, 0.2, 0.4, 65538, 100000, ru, 3, 76.07
uas, few-shot, 0.2, 0.4, 65538, 100000, ru, 4, 70.93
uas, full-train, 0.1, 0.1, 32770, 100000, myv, 1, 61.19
uas, full-train, 0.1, 0.1, 32770, 100000, myv, 2, 61.08
uas, full-train, 0.1, 0.1, 32770, 100000, myv, 3, 62.21
uas, full-train, 0.1, 0.1, 32770, 100000, myv, 4, 62.5
uas, full-train, 0.1, 0.1, 32770, 100000, sme, 1, 61.82
